Match Name,Team,Outcome,Team A,Team B,Team A Pistol Winrate vs B,Team B Pistol Winrate vs A,Team A Pistol Winrate,Team B Pistol Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round
BBL Esports vs FUT Esports,BBL Esports,0,BBL Esports,FUT Esports,50.0,50.0,53.125,55.55555555555556,1.07,130.05,199.15,5.51,0.1,1.0,126.64,193.14,5.11,0.1
BBL Esports vs FUT Esports,FUT Esports,1,BBL Esports,FUT Esports,50.0,50.0,53.125,55.55555555555556,1.07,130.05,199.15,5.51,0.1,1.0,126.64,193.14,5.11,0.1
BBL Esports vs FUT Esports,BBL Esports,0,BBL Esports,FUT Esports,50.0,50.0,53.125,55.55555555555556,1.07,130.05,199.15,5.51,0.1,1.0,126.64,193.14,5.11,0.1
BBL Esports vs FUT Esports,FUT Esports,1,BBL Esports,FUT Esports,50.0,50.0,53.125,55.55555555555556,1.07,130.05,199.15,5.51,0.1,1.0,126.64,193.14,5.11,0.1
GIANTX vs Apeks,GIANTX,1,GIANTX,Apeks,50.0,50.0,14.285714285714285,35.294117647058826,0.9,123.5,186.22,4.5,0.12,0.88,121.8,184.96,4.83,0.11
GIANTX vs Apeks,Apeks,0,GIANTX,Apeks,50.0,50.0,14.285714285714285,35.294117647058826,0.9,123.5,186.22,4.5,0.12,0.88,121.8,184.96,4.83,0.11
GIANTX vs Apeks,GIANTX,0,GIANTX,Apeks,50.0,50.0,14.285714285714285,35.294117647058826,0.9,123.5,186.22,4.5,0.12,0.88,121.8,184.96,4.83,0.11
GIANTX vs Apeks,Apeks,1,GIANTX,Apeks,50.0,50.0,14.285714285714285,35.294117647058826,0.9,123.5,186.22,4.5,0.12,0.88,121.8,184.96,4.83,0.11
Gentle Mates vs KOI,Gentle Mates,0,Gentle Mates,KOI,33.33333333333333,66.66666666666666,43.47826086956522,52.94117647058824,0.94,120.8,183.23,4.73,0.11,0.89,121.3,182.35,4.37,0.11
Gentle Mates vs KOI,KOI,1,Gentle Mates,KOI,33.33333333333333,66.66666666666666,43.47826086956522,52.94117647058824,0.94,120.8,183.23,4.73,0.11,0.89,121.3,182.35,4.37,0.11
Gentle Mates vs KOI,Gentle Mates,0,Gentle Mates,KOI,33.33333333333333,66.66666666666666,43.47826086956522,52.94117647058824,0.94,120.8,183.23,4.73,0.11,0.89,121.3,182.35,4.37,0.11
